0 26.9045
1000 28.5978
2000 31.3315
3000 27.5649
4000 27.0118
5000 30.2798
6000 25.658
7000 25.5068
8000 24.2669
9000 20.4545
10000 18.9218
11000 19.6591
12000 20.728
13000 21.9144
14000 22.14
15000 19.9497
16000 16.8447
17000 15.797
18000 14.93
19000 13.4875
20000 15.5811
21000 14.7785
22000 15.4548
23000 12.4411
24000 11.4338
25000 11.8818
26000 13.5264
27000 10.1656
28000 10.1049
29000 9.98132
30000 10.3654
31000 9.75887
32000 10.4174
33000 10.5291
34000 9.84587
35000 9.49814
36000 9.9096
37000 9.31415
38000 9.21035
39000 9.23644
40000 9.29036
41000 9.3642
42000 9.12843
43000 9.12597
44000 9.21908
45000 9.12597
46000 9.15415
47000 9.12597
48000 9.11923
49000 9.12843
50000 9.12597
51000 9.11676
52000 9.11676
53000 9.12843
54000 9.11923
55000 9.11923
56000 9.12843
57000 9.11676
58000 9.11676
59000 9.11676
