0 326.159
1 324.532
2 319.526
3 308.83
4 292.696
5 276.156
6 263.819
7 261.783
8 261.003
9 257.48
10 247.765
11 244.878
12 240.337
13 219.763
14 210.75
15 201.869
16 193.441
17 186.89
18 178.304
19 170.973
20 174.864
21 172.43
22 165.79
23 155.426
24 160.901
25 146.914
26 144.311
27 143.555
28 150.939
29 140.982
30 137.203
31 136.749
32 139.847
33 144.297
34 136.016
35 131.677
36 129.768
37 128.705
38 130.354
39 131.415
40 128.772
41 129.096
42 127.512
43 125.838
44 122.968
45 120.921
46 119.806
47 116.443
48 118.139
49 112.869
50 123.352
51 113.479
52 116.635
53 127.448
54 126.764
55 115.991
56 109.428
57 109.351
58 109.351
59 127.34
60 114.177
61 122.751
62 112.874
63 107.959
64 102.842
65 99.9515
66 99.2891
67 102.741
68 112.229
69 98.6948
70 109.264
71 111.347
72 99.7942
73 95.7633
74 95.7522
75 95.7522
76 95.7522
77 95.7522
78 95.7522
79 97.2271
80 95.7522
81 106.034
82 110.535
83 95.7051
84 95.6725
85 103.319
86 103.769
87 95.6934
88 100.569
89 94.0561
90 101.935
91 92.7807
92 97.0608
93 90.7249
94 90.7217
95 90.7217
96 90.7217
97 90.7217
98 90.7217
99 90.7217
