           1    -4.95094    -4.95094	0
           2     -4.9903    -4.97062	0.01968
           3    -5.05399    -4.99841	0.0300231
           4    -5.04085    -5.00902	0.0237332
           5    -5.01139    -5.00949	0.0183898
           6    -4.97949    -5.00449	0.0158257
           7     -4.9251    -4.99315	0.0175362
           8    -4.96838    -4.99006	0.0154991
           9     -5.0522    -4.99696	0.0153138
          10    -5.01534     -4.9988	0.0138199
          11    -5.00462    -4.99933	0.0125117
          12    -4.97025     -4.9969	0.0116757
          13     -4.9449     -4.9929	0.0114609
          14    -4.97237    -4.99144	0.0107116
          15    -4.92479    -4.98699	0.0109171
          16      -4.995    -4.98749	0.0102243
          17    -5.12055    -4.99532	0.0123895
          18    -5.09617    -5.00092	0.0129552
          19    -4.97931    -4.99979	0.012307
          20    -4.92056    -4.99583	0.0123291
          21    -4.93982    -4.99316	0.0120268
          22    -4.82446    -4.98549	0.0137947
          23    -4.83216    -4.97882	0.0147712
          24    -4.98519    -4.97909	0.0141448
          25    -5.06265    -4.98243	0.0139729
          26    -5.07837    -4.98612	0.0139225
          27    -5.06954    -4.98921	0.0137486
          28    -5.01371    -4.99009	0.0132773
          29     -5.0912    -4.99357	0.0132773
          30    -5.12385    -4.99792	0.0135423
          31    -5.08173    -5.00062	0.0133743
          32    -4.96701    -4.99957	0.0129921
          33    -4.92451    -4.99729	0.012796
          34    -4.95847    -4.99615	0.0124664
          35    -4.96865    -4.99537	0.0121304
          36    -4.91932    -4.99325	0.0119764
          37    -4.93907    -4.99179	0.0117399
          38    -4.98443     -4.9916	0.0114285
          39    -4.89105    -4.98902	0.0114262
          40    -4.89009    -4.98654	0.0114082
          41    -4.96766    -4.98608	0.011136
          42     -4.9525    -4.98528	0.010897
          43    -4.97923    -4.98514	0.0106415
          44    -5.01677    -4.98586	0.0104217
          45    -4.99858    -4.98614	0.0101914
          46    -4.95437    -4.98545	0.00999125
          47    -5.02422    -4.98628	0.00981108
          48    -5.10526    -4.98876	0.00991922
          49    -5.10289    -4.99109	0.00998999
          50    -5.08963    -4.99306	0.00998459
          51    -5.08388    -4.99484	0.00994756
          52     -5.0244    -4.99541	0.00977094
          53    -5.03732     -4.9962	0.00961737
          54    -5.11583    -4.99841	0.00969414
          55     -5.0643    -4.99961	0.00959135
          56    -4.90938      -4.998	0.00955536
          57    -4.91544    -4.99655	0.00949733
          58    -4.99388     -4.9965	0.00933226
          59    -4.99165    -4.99642	0.00917309
          60    -4.99742    -4.99644	0.00901892
          61       -5.08    -4.99781	0.008975
          62    -5.05224    -4.99869	0.0088726
          63    -4.98087     -4.9984	0.0087352
          64    -4.97029    -4.99797	0.00860885
          65    -4.99221    -4.99788	0.00847583
          66    -4.95741    -4.99726	0.00836891
          67     -5.0431    -4.99795	0.0082714
          68    -5.13168    -4.99991	0.00838281
          69    -5.11364    -5.00156	0.00842325
          70    -5.04429    -5.00217	0.00832445
          71    -5.02907    -5.00255	0.00821511
          72    -4.98802    -5.00235	0.00810272
          73    -4.97247    -5.00194	0.00800143
          74    -5.02828     -5.0023	0.00790059
          75    -5.08178    -5.00336	0.00786624
          76     -5.0769    -5.00432	0.00782213
          77    -5.06947    -5.00517	0.00776609
          78    -5.00448    -5.00516	0.00766589
          79    -4.92674    -5.00417	0.00763305
          80    -4.95048     -5.0035	0.00756684
          81    -4.90035    -5.00222	0.00758057
          82    -4.97975    -5.00195	0.00749256
          83    -5.08603    -5.00296	0.00747075
          84    -5.02667    -5.00324	0.00738667
          85    -4.97205    -5.00288	0.00730847
          86    -4.83153    -5.00089	0.00749274
          87    -4.85628    -4.99922	0.00759033
          88     -5.0114    -4.99936	0.00750485
          89    -5.01897    -4.99958	0.00742332
          90    -4.95463    -4.99908	0.00735735
          91     -4.9293    -4.99832	0.00731635
          92    -4.88407    -4.99707	0.00734216
          93    -4.92504     -4.9963	0.00730397
          94    -5.06762    -4.99706	0.00726558
          95    -5.10185    -4.99816	0.00727283
          96    -5.08729    -4.99909	0.00725632
          97    -5.09641    -5.00009	0.00725087
          98    -5.04319    -5.00053	0.00718996
          99     -5.0391    -5.00092	0.00712762
         100    -5.02431    -5.00116	0.00705985
